# 1  Loci_20 Loci_12 
     Theta(M, F)  COUNT   AVG_LR MAX_HLOD     R2 ALPHA    DGF     MF PEN_DD PEN_Dd PEN_dd 
(0.3500, 0.3500)  21560   1.0063   0.2734 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.3600, 0.3600)  21560   1.0066   0.2467 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.3700, 0.3700)  21560   1.0065   0.2198 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.3800, 0.3800)  21560   1.0062   0.1932 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.3900, 0.3900)  21560   1.0058   0.1671 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.4000, 0.4000)  21560   1.0052   0.1419 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.4100, 0.4100)  21560   1.0045   0.1178 0.0000  1.00 0.3000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.4200, 0.4200)  21560   1.0038   0.0953 0.0000  1.00 0.3000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.4300, 0.4300)  21560   1.0030   0.0744 0.0000  1.00 0.3000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.4400, 0.4400)  21560   1.0023   0.0557 0.0000  1.00 0.3000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.4500, 0.4500)  21560   1.0017   0.0393 0.0000  1.00 0.3000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.4600, 0.4600)  21560   1.0011   0.0255 0.0000  1.00 0.3000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.4700, 0.4700)  21560   1.0006   0.0145 0.0000  1.00 0.3000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.4800, 0.4800)  21560   1.0003   0.0065 0.0000  1.00 0.3000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.4900, 0.4900)  21560   1.0001   0.0016 0.0000  1.00 0.3000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.5000, 0.5000)  21560   1.0000   0.0000 0.0000  0.05 0.0100 0.2787  -2.000 -3.000 -3.000  0.707 0.707 0.707  0.000 
